ID;Категория;Заголовок;Опции продажи;Тип;Общая площадь;Жилая площадь;Площадь кухни;Этаж;Кол-во этажей в доме;Лифт пассажирский (кол-во);Лифт грузовой (кол-во);Балкон/лоджия;Мусоропровод;Парковка;Количество комнат;Тип дома;Название дома (ЖК);Высота потолков;Кол-во раздельных санузлов;Кол-во совмещенных санузлов;Ремонт;Вид из окон;Расстояние до метро;Адрес;Описания;Стоимость;Актуальность;Изображения;Регион
16592911;Недвижимость в Москве/Продажа/Продажа 2-комнатных квартир в Москве/Варшавское шоссе/НАО (Новомосковский)/Щербинка/метро Аннино/улица 40 лет Октября;2-комн. квартира, 70.03 м2;Возможна ипотека;Новостройка;70.03;41.8;13.июл;2;17;1.0;1.0;Балкон;Да;подземная;2.0;Монолитный;ЖК «Белая звезда»;;1.0;;;;12 мин. на транспорте;Москва,НАО (Новомосковский),Щербинка,улица 40 лет Октября,3;"Продается просторная двухкомнатная квартира 70,03 кв.м в Новой Москве ЖК ""Белая Звезда"". Дом введен в эксплуатацию! На транспорте 17 минут от метро ""Аннино"". 17-этажный монолитный дом возведён по индивидуальному проекту с подземным паркингом. Корпус состоит из трёх жилых секций. Вся городская инфраструктура в шаговой доступности: школы, детские сады, поликлиника. 5 минут пешком от ж/д станции Щербинка. Номер лота - 077766";7073030;Опубликовано;https://cdn-p.cian.site/images/3/824/736/novostroyka-shcerbinka-637428302-1.jpg,https://cdn-p.cian.site/images2/5/301/176/novostroyka-shcerbinka-40-let-oktyabrya-ulica-671103538-1.jpg,https://cdn-p.cian.site/images2/5/301/176/novostroyka-shcerbinka-40-let-oktyabrya-ulica-671103565-1.jpg,https://cdn-p.cian.site/images2/5/301/176/novostroyka-shcerbinka-40-let-oktyabrya-ulica-671103573-1.jpg,https://cdn-p.cian.site/images2/5/301/176/novostroyka-shcerbinka-40-let-oktyabrya-ulica-671103560-1.jpg,https://cdn-p.cian.site/images2/7/533/017/novostroyka-shcerbinka-40-let-oktyabrya-ulica-710335754-1.jpg,https://cdn-p.cian.site/images2/7/533/017/novostroyka-shcerbinka-40-let-oktyabrya-ulica-710335757-1.jpg,https://cdn-p.cian.site/images2/7/533/017/novostroyka-shcerbinka-40-let-oktyabrya-ulica-710335756-1.jpg,https://cdn-p.cian.site/images2/7/533/017/novostroyka-shcerbinka-40-let-oktyabrya-ulica-710335758-1.jpg,https://cdn-p.cian.site/images2/7/533/017/novostroyka-shcerbinka-40-let-oktyabrya-ulica-710335755-1.jpg,https://cdn-p.cian.site/images/4/876/627/novostroyka-shcerbinka-40-let-oktyabrya-ulica-726678439-1.jpg,https://cdn-p.cian.site/images/4/876/627/novostroyka-shcerbinka-40-let-oktyabrya-ulica-726678454-1.jpg,https://cdn-p.cian.site/images/4/876/627/novostroyka-shcerbinka-40-let-oktyabrya-ulica-726678451-1.jpg,https://cdn-p.cian.site/images/4/876/627/novostroyka-shcerbinka-40-let-oktyabrya-ulica-726678455-1.jpg,https://cdn-p.cian.site/images2/4/742/647/novostroyka-shcerbinka-40-let-oktyabrya-ulica-746247441-1.jpg;Москва
17242255;Недвижимость в Москве/Продажа/Продажа 3-комнатных квартир в Москве/Варшавское шоссе/НАО (Новомосковский)/Щербинка/метро Аннино/улица 40 лет Октября;3-комн. квартира, 76.47 м2;Возможна ипотека;Новостройка;76.47;43.4;11.фев;11;17;1.0;1.0;Балкон;Да;подземная;3.0;Монолитный;ЖК «Белая звезда»;;1.0;;;Во двор;12 мин. на транспорте;Москва,НАО (Новомосковский),Щербинка,улица 40 лет Октября,3;"Продается трехкомнатная квартира 76,47 кв.м с балконом в Новой Москве в ЖК ""Белая Звезда"". Дом введен в эксплуатацию. На транспорте 17 минут от метро ""Аннино"". 17-этажный монолитный дом возведён по индивидуальному проекту с подземным паркингом. Корпус состоит из трёх жилых секций. Вся городская инфраструктура в шаговой доступности: школы, детские сады, поликлиника. 5 минут пешком от ж/д станции Щербинка. Номер лота - 085130";7799940;Опубликовано;https://cdn-p.cian.site/images2/5/690/176/novostroyka-shcerbinka-671096584-1.jpg,https://cdn-p.cian.site/images2/6/690/176/novostroyka-shcerbinka-671096683-1.jpg,https://cdn-p.cian.site/images2/6/690/176/novostroyka-shcerbinka-671096662-1.jpg,https://cdn-p.cian.site/images2/6/690/176/novostroyka-shcerbinka-671096654-1.jpg,https://cdn-p.cian.site/images2/5/690/176/novostroyka-shcerbinka-671096591-1.jpg,https://cdn-p.cian.site/images2/5/690/176/novostroyka-shcerbinka-671096594-1.jpg,https://cdn-p.cian.site/images2/6/690/176/novostroyka-shcerbinka-671096639-1.jpg,https://cdn-p.cian.site/images2/6/833/017/novostroyka-shcerbinka-40-let-oktyabrya-ulica-710338624-1.jpg,https://cdn-p.cian.site/images2/6/833/017/novostroyka-shcerbinka-40-let-oktyabrya-ulica-710338622-1.jpg,https://cdn-p.cian.site/images2/6/833/017/novostroyka-shcerbinka-40-let-oktyabrya-ulica-710338623-1.jpg,https://cdn-p.cian.site/images2/6/833/017/novostroyka-shcerbinka-40-let-oktyabrya-ulica-710338621-1.jpg,https://cdn-p.cian.site/images/1/555/717/novostroyka-shcerbinka-40-let-oktyabrya-ulica-717555115-1.jpg,https://cdn-p.cian.site/images/9/876/627/novostroyka-shcerbinka-40-let-oktyabrya-ulica-726678913-1.jpg,https://cdn-p.cian.site/images/9/876/627/novostroyka-shcerbinka-40-let-oktyabrya-ulica-726678912-1.jpg,https://cdn-p.cian.site/images/9/876/627/novostroyka-shcerbinka-40-let-oktyabrya-ulica-726678915-1.jpg,https://cdn-p.cian.site/images/9/876/627/novostroyka-shcerbinka-40-let-oktyabrya-ulica-726678914-1.jpg,https://cdn-p.cian.site/images/9/876/627/novostroyka-shcerbinka-40-let-oktyabrya-ulica-726678911-1.jpg;Москва
193433104;Недвижимость в Москве/Продажа/Продажа 2-комнатных квартир в Москве/СЗАО/Хорошево-Мневники/метро Полежаевская/3-я Хорошевская улица;2-комн. квартира, 60.0 м2;;Новостройка;60.0;38.0;12.0;5;20;2.0;2.0;;Нет;;2.0;Монолитный;ЖК «Хорошевский»;;2.0;;;На улицу и двор;3 мин. на транспорте;Москва,СЗАО,район Хорошево-Мневники,3-я Хорошевская улица,19А;Дом сдан. Есть возможность перепланировать в 3-комнатную. 2 Санузла. Жилой комплекс Хорошевский это новый масштабный проект бизнес-класса в Северено-западном округе Москвы. Общая площадь застройки составляет 12,74 гектара земли. ЖК Хорошёвский - это многофункциональный комплекс, который включает жилые корпуса, собственные детские сады на 330 мест, школу на 550 учеников, бизнес-центр, апартаменты, фитнес-клуб, кафе и магазин, паркинг и гостевые стоянки.;11700000;Опубликовано;https://cdn-p.cian.site/images/5/002/116/novostroyka-moskva-3ya-horoshevskaya-ulica-611200548-1.jpg,https://cdn-p.cian.site/images/3/507/466/novostroyka-moskva-3ya-horoshevskaya-ulica-664705353-1.jpg,https://cdn-p.cian.site/images/3/507/466/novostroyka-moskva-3ya-horoshevskaya-ulica-664705395-1.jpg,https://cdn-p.cian.site/images/4/507/466/novostroyka-moskva-3ya-horoshevskaya-ulica-664705415-1.jpg,https://cdn-p.cian.site/images/4/507/466/novostroyka-moskva-3ya-horoshevskaya-ulica-664705456-1.jpg;Москва
140334219;Недвижимость в Москве/Продажа/Продажа 2-комнатных квартир в Московской области/Красногорск городской округ/д. Глухово/Рублевское Предместье ЖК/Ильинское шоссе;2-комн. квартира, 65.2 м2;Возможна ипотека;Новостройка;65.2;0.0;0.0;2;5;0.0;1.0;Балкон;Нет;подземная;2.0;Монолитный;ЖК «Рублевское предместье»;;0.0;;;На улицу и двор;;Московская область,Красногорск городской округ,д. Глухово,Рублевское Предместье ЖК,9к1;Дом построен. Получена собственность. Фактическая площадь 65,2м, Проектная 64,5м. Введен в эксплуатацию. Продажа осуществляется по ДКП. 7я очередь. Корпус 15, ЖК Рублёвское предместье. Балкон 1. Санузел совмещённый. Монолитный одноподъездный дом. Можно сразу начать оформление собственности. Можно начинать ремонт.;6055000;Опубликовано;https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973444-1.jpg,https://cdn-p.cian.site/images/7/379/115/novostroyka-rublevskoe-predmeste-511973745-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973414-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973488-1.jpg,https://cdn-p.cian.site/images/3/379/115/novostroyka-rublevskoe-predmeste-511973382-1.jpg,https://cdn-p.cian.site/images/3/379/115/novostroyka-rublevskoe-predmeste-511973386-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973470-1.jpg,https://cdn-p.cian.site/images/3/379/115/novostroyka-rublevskoe-predmeste-511973385-1.jpg,https://cdn-p.cian.site/images/3/379/115/novostroyka-rublevskoe-predmeste-511973395-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973478-1.jpg,https://cdn-p.cian.site/images/3/379/115/novostroyka-rublevskoe-predmeste-511973396-1.jpg,https://cdn-p.cian.site/images/3/379/115/novostroyka-rublevskoe-predmeste-511973399-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973410-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973416-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973415-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973421-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973427-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973451-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973481-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973486-1.jpg,https://cdn-p.cian.site/images/4/379/115/novostroyka-rublevskoe-predmeste-511973480-1.jpg,https://cdn-p.cian.site/images/5/379/115/novostroyka-rublevskoe-predmeste-511973570-1.jpg,https://cdn-p.cian.site/images/6/379/115/novostroyka-rublevskoe-predmeste-511973612-1.jpg,https://cdn-p.cian.site/images/5/379/115/novostroyka-rublevskoe-predmeste-511973575-1.jpg,https://cdn-p.cian.site/images/5/379/115/novostroyka-rublevskoe-predmeste-511973587-1.jpg,https://cdn-p.cian.site/images/6/379/115/novostroyka-rublevskoe-predmeste-511973600-1.jpg,https://cdn-p.cian.site/images/5/379/115/novostroyka-rublevskoe-predmeste-511973579-1.jpg,https://cdn-p.cian.site/images/5/379/115/novostroyka-rublevskoe-predmeste-511973599-1.jpg;Красногорск
189844059;Недвижимость в Москве/Продажа/Продажа 1-комнатных квартир в Московской области/Истра городской округ/д. Лобаново/метро Кунцевская;1-комн. квартира, 38.18 м2;Возможна ипотека;Новостройка;38.18;17.мар;08.янв;1;3;;;;Нет;;1.0;Кирпичный;ЖК «Павловский квартал»;;1.0;;;Во двор;33 мин. на транспорте;Московская область,Истра городской округ,д. Лобаново,7;Внимание! Вашему вниманию предлагается 1к квартира в современном малоэтажном комплексе комфорт-класс ЖК Павловский квартал в 14 км. по Новорижскому ш. Общая площадь 38,18, комната 17,29 кв.м., кухня 8,11 кв.м., с/у совмещенный, лоджия застекленная. Монолитные дома, единый архитектурный стиль, престижное западное направление, развитая инфраструктура, близость к столице, привлекательное природное окружение. Недалеко от территории застройки протекает река Истра, на берегах которой можно отдыхать и наслаждаться природой. Во дворе каждого дома будут обустроены комфортабельные зеленые зоны отдыха, детские игровые площадки, а также большие благоустроенные общественные пространства и места для прогулок. Огороженная территория, охрана, для всех жителей комплекса и гостей спроектированы и построены специальные парковки. ЖК Павловский квартал расположен рядом с легендарным коттеджным поселком Павлово, торгово-развлекательным центром Павлово подворье и лучшей в Подмосковье частной школой Павловской гимназией. Оформление по договору уступки. Ипотека от Сбербанка, Уралсиба, Московского кредитного банка. Респектабельный поселок, в то же время доступный по ценам для широкого круга покупателей. Спешите приобрести данную квартиру по выгодной цене!;2710780;Опубликовано;https://cdn-p.cian.site/images/7/107/141/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-141701740-1.jpg,https://cdn-p.cian.site/images/9/878/595/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-595878927-1.jpg,https://cdn-p.cian.site/images/7/107/141/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-141701717-1.jpg,https://cdn-p.cian.site/images/7/107/141/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-141701758-1.jpg,https://cdn-p.cian.site/images/7/107/141/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-141701745-1.jpg,https://cdn-p.cian.site/images/7/107/141/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-141701747-1.jpg,https://cdn-p.cian.site/images/7/107/141/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-141701714-1.jpg,https://cdn-p.cian.site/images/9/878/595/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-595878925-1.jpg,https://cdn-p.cian.site/images/9/878/595/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-595878930-1.jpg,https://cdn-p.cian.site/images/9/878/595/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-595878923-1.jpg,https://cdn-p.cian.site/images/9/878/595/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-595878934-1.jpg,https://cdn-p.cian.site/images/9/878/595/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-595878929-1.jpg,https://cdn-p.cian.site/images/9/878/595/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-595878932-1.jpg,https://cdn-p.cian.site/images/9/878/595/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-595878931-1.jpg,https://cdn-p.cian.site/images/9/878/595/novostroyka-zhiloy-kompleks-pavlovskiy-novaya-ulica-595878933-1.jpg;Истра
192804290;Недвижимость в Москве/Продажа/Продажа 1-комнатных квартир в Московской области/Щелково городской округ/д. Большие Жеребцы/Восточный мкр/Восточная Европа ЖК/Щелковское шоссе/метро Щелковская;1-комн. квартира, 44.0 м2;Возможна ипотека;Новостройка;44.0;17.май;12.фев;2;5;1.0;;;Нет;;1.0;Монолитный;ЖК «Восточная Европа»;;1.0;;;Во двор;25 мин. на транспорте;Московская область,Щелково городской округ,д. Большие Жеребцы,Восточный мкр,Восточная Европа ЖК,к4;Продаётся 1- комнатная квартира в ЖК Восточная Европа, 14 км. от МКАД по Щелковскому шоссе. Жилой комплекс огорожен и находится под охраной. 3 корпус, установлены двухкамерные стеклопакеты, электрика до двери. Экологически чистый зеленый район, рядом Медвежьи озера, зона отдыха. У городка будет своя полноценная инфраструктура: медицинский кабинет, отделение банка, отделение связи, дом творчества школа искусств, детский сад на 320 мест, школа на 1300 учащихся, библиотека, многоуровневая стоянка на 1624 машино-места. Помощь в оформлении Ипотека БЕСПЛАТНО, военная ипотека, субсидии для госслужащих, материнский капитал, беспроцентная рассрочка. Юридическое сопровождение сделки - БЕСПЛАТНО! Регистрация по ФЗ 214 (обязательная регистрация в Росреестре).;1790000;Опубликовано;https://cdn-p.cian.site/images2/0/418/457/novostroyka-vostochnaya-evropa-754814053-1.jpg,https://cdn-p.cian.site/images/2/005/551/novostroyka-bolshie-zherebcy-155500237-1.jpg,https://cdn-p.cian.site/images/5/432/602/novostroyka-bolshie-zherebcy-206234528-1.jpg,https://cdn-p.cian.site/images/5/432/602/novostroyka-bolshie-zherebcy-206234519-1.jpg,https://cdn-p.cian.site/images/6/446/142/novostroyka-bolshie-zherebcy-241644647-1.jpg,https://cdn-p.cian.site/images/6/446/142/novostroyka-bolshie-zherebcy-241644650-1.jpg,https://cdn-p.cian.site/images/6/446/142/novostroyka-bolshie-zherebcy-241644649-1.jpg,https://cdn-p.cian.site/images/6/446/142/novostroyka-bolshie-zherebcy-241644646-1.jpg,https://cdn-p.cian.site/images/6/446/142/novostroyka-bolshie-zherebcy-241644645-1.jpg,https://cdn-p.cian.site/images/6/446/142/novostroyka-bolshie-zherebcy-241644651-1.jpg,https://cdn-p.cian.site/images/3/696/852/novostroyka-bolshie-zherebcy-258696369-1.jpg;Щелково
198594443;Недвижимость в Старой Купавне/Продажа/Продажа квартир-студий в Старой Купавне/Горьковское шоссе/Кудиновское шоссе/улица Октябрьская;студия, 29.0 м2;;Новостройка;29.0;19.0;0.0;14;17;1.0;1.0;Балкон;Нет;;;Монолитный;ЖК «Купавино»;;;;;Во двор;;Московская область,Богородский городской округ,Старая Купавна,улица Октябрьская,14А;Квартира-студия, общая площадь 29 кв.м, с/у совмещенный - 3,4 кв.м, прихожая - 3,2 м2, есть балкон. Этаж 14/17. Комплекс расположен на берегу Купавинского озера с пляжной зоной. Большую часть первого этажа займет новый современный детский сад, с собственной оборудованной и огороженной детской площадкой. Развитая инфраструктура. В квартире будут установлены входные двери, застеклена лоджия, гидроизолирован санузел, проведена трубная разводка системы отопления и установлены отопительные приборы, подведена электропроводка с электрощитком, смонтированы стояки канализации, ГВС и ХВС с заглушками. Хорошая транспортная доступность (автобусы, маршрутки до ст. метро Партизанская, Щелковская. Ж/д до Курского вокзала 40 минут электричкой). Переуступка ДДУ по ФЗ-214.;1500000;Опубликовано;https://cdn-p.cian.site/images/3/298/851/novostroyka-staraya-kupavna-oktyabrskaya-ulica-158892306-1.jpg,https://cdn-p.cian.site/images/3/398/851/novostroyka-staraya-kupavna-oktyabrskaya-ulica-158893389-1.jpg,https://cdn-p.cian.site/images/3/398/851/novostroyka-staraya-kupavna-oktyabrskaya-ulica-158893398-1.jpg,https://cdn-p.cian.site/images/3/398/851/novostroyka-staraya-kupavna-oktyabrskaya-ulica-158893396-1.jpg,https://cdn-p.cian.site/images/3/398/851/novostroyka-staraya-kupavna-oktyabrskaya-ulica-158893391-1.jpg,https://cdn-p.cian.site/images/3/398/851/novostroyka-staraya-kupavna-oktyabrskaya-ulica-158893393-1.jpg,https://cdn-p.cian.site/images/3/398/851/novostroyka-staraya-kupavna-oktyabrskaya-ulica-158893397-1.jpg,https://cdn-p.cian.site/images/4/398/851/novostroyka-staraya-kupavna-oktyabrskaya-ulica-158893400-1.jpg,https://cdn-p.cian.site/images/4/398/851/novostroyka-staraya-kupavna-oktyabrskaya-ulica-158893403-1.jpg;Богородский
192854657;Недвижимость в Москве/Продажа/Продажа 2-комнатных квартир в Москве/САО/Аэропорт/метро Динамо/Ленинградский проспект;2-комн. апартаменты, 100.0 м2;Возможна ипотека;Новостройка;100.0;50.0;27.0;2;12;2.0;1.0;;Нет;подземная;2.0;Монолитный;ЖК «ВТБ Арена парк»;;;;;На улицу и двор;8 мин. пешком;Москва,САО,район Аэропорт,Ленинградский проспект,36к13;"Предлагаются шикарные апартаменты Класса Люкс в ЖК ВТБ Арена Парк от инвестора. Стоимость метра дешевле, чем у застройщика на 15%. Отделка фасадов натуральным камнем. Свободная планировка с отличными видовыми характеристиками, панорамное остекление (окна от пола до потолка),высокие потолки. Жилой Комплекс апартаментов ""Арена Парк"" состоит из семи корпусов с сопутствующей инфраструктурой на первых этажах. Территория огорожена. Круглосуточная охрана, система видео наблюдения, контроль доступа. Подземный паркинг. Апартаменты оборудованы всеми современными инженерными системами. Прекрасная инфраструктура для жизни и занятия спортом. Срок сдачи: II кв. 2019 года.";19900000;Опубликовано;https://cdn-p.cian.site/images2/1/911/196/novostroyka-moskva-leningradskiy-prospekt-691119137-1.jpg,https://cdn-p.cian.site/images/8/748/061/novostroyka-moskva-leningradskiy-prospekt-160847813-1.jpg,https://cdn-p.cian.site/images/8/748/061/novostroyka-moskva-leningradskiy-prospekt-160847821-1.jpg,https://cdn-p.cian.site/images/8/748/061/novostroyka-moskva-leningradskiy-prospekt-160847823-1.jpg,https://cdn-p.cian.site/images/8/748/061/novostroyka-moskva-leningradskiy-prospekt-160847839-1.jpg,https://cdn-p.cian.site/images/1/647/671/novostroyka-moskva-leningradskiy-prospekt-176746192-1.jpg;Москва
199874850;Недвижимость в Раменском/Продажа/Продажа 1-комнатных квартир в Раменском районе/д. Лужки/Егорьевское шоссе;1-комн. квартира, 35.0 м2;Возможна ипотека;Новостройка;35.0;18.0;11.0;1;3;;;;Нет;;1.0;Кирпичный;ЖК «Солнечный (Вялковское с/пос)»;;1.0;;;Во двор;;Московская область,Раменский городской округ,д. Лужки,улица Центральная;Квартира в строящемся доме корпус 3. Квартиры с высотой потолков 2.8 метра. Квартира передается без отделки.. Подключены ко всем центральным коммуникациям. Полный пакет разрешительной документации в чем можно убедится на нашем сайте. Территория огороженная по всему периметру, есть детская площадка, Парковка как для жителей так и гостевая. В 3 минутах от дома, Школа, детский сад, магазины, остановка автобуса. Можно заказать отделку квартиры у Застройщика. Есть квартиры в готовых домах с оформленым свидетельством о собственности. Дом (3 корпус) сдаем весной следующего года. Два первых корпуса 1 и 2 сданы и имеются свидетельство о собственности на Застройщика, после оплаты можно сразу заселятся. Информация на нашем сайтеЖК СОЛНЕЧНЫЙ2017. Стоимость указана при оплате наличными. Если на расчетный счет застройщика то стоимость указана на сайте. Ждем вас. Звоните или пищите мы с удовольствием вам ответим и предложим приемлемый для вас вариант приобретения квартиры. Поможем с ипотекой и предложим рассрочку;1510000;Опубликовано;https://cdn-p.cian.site/images/1/477/506/novostroyka-sovhoza-kraskovskiy-605774177-1.jpg,https://cdn-p.cian.site/images2/1/064/757/novostroyka-dubki-757460121-1.jpg,https://cdn-p.cian.site/images/5/857/506/novostroyka-sovhoza-kraskovskiy-605758500-1.jpg,https://cdn-p.cian.site/images/4/857/506/novostroyka-sovhoza-kraskovskiy-605758497-1.jpg,https://cdn-p.cian.site/images/5/857/506/novostroyka-sovhoza-kraskovskiy-605758521-1.jpg,https://cdn-p.cian.site/images/2/477/506/novostroyka-sovhoza-kraskovskiy-605774202-1.jpg,https://cdn-p.cian.site/images/4/281/661/kvartira-sovhoza-kraskovskiy-166182481-1.jpg,https://cdn-p.cian.site/images/9/459/506/novostroyka-sovhoza-kraskovskiy-605954972-1.jpg,https://cdn-p.cian.site/images/9/459/506/novostroyka-sovhoza-kraskovskiy-605954975-1.jpg,https://cdn-p.cian.site/images/8/459/506/novostroyka-sovhoza-kraskovskiy-605954896-1.jpg,https://cdn-p.cian.site/images/9/459/506/novostroyka-sovhoza-kraskovskiy-605954925-1.jpg,https://cdn-p.cian.site/images/9/179/026/novostroyka-strokino-620971910-1.jpg,https://cdn-p.cian.site/images/9/179/026/novostroyka-strokino-620971995-1.jpg,https://cdn-p.cian.site/images2/0/803/286/novostroyka-strokino-682308036-1.jpg,https://cdn-p.cian.site/images2/0/803/286/novostroyka-strokino-682308042-1.jpg,https://cdn-p.cian.site/images2/0/803/286/novostroyka-strokino-682308047-1.jpg,https://cdn-p.cian.site/images2/0/803/286/novostroyka-strokino-682308052-1.jpg,https://cdn-p.cian.site/images2/0/803/286/novostroyka-strokino-682308057-1.jpg,https://cdn-p.cian.site/images2/0/803/286/novostroyka-strokino-682308061-1.jpg,https://cdn-p.cian.site/images2/8/893/496/novostroyka-strokino-694398863-1.jpg,https://cdn-p.cian.site/images2/1/004/496/novostroyka-strokino-694400141-1.jpg;Раменский
194604985;Недвижимость в Лыткарине/Продажа/Продажа 2-комнатных квартир в Лыткарине/Новорязанское шоссе/улица Ленина;2-комн. квартира, 54.43 м2;Долевое участие (214-ФЗ), Возможна ипотека;Новостройка;54.43;25.авг;9.0;9;18;2.0;1.0;Балкон;Нет;;2.0;Монолитный;ЖК «Центральный»;;1.0;;;На улицу и двор;;Московская область,Лыткарино,улица Ленина,к2;"Продается 2-х комнатная квартира по цене 73000 рублей за 1 кв.метр от собственника, в новом Жилом Комплексе ""Центральный"" Корпус 2 секция 6, 9этаж 18-ти этажного монолитно-кирпичного дома, построенного по индивидуальному проекту. Общая площадь квартиры 54.43кв.м. Комнаты: 15.87кв.м +9,9 кв.м, кухня - 8.9 кв.м, коридор - 5.3кв.м, ванная комната - 2,78 кв.м, туалет - 1,61 кв.м, лоджия - 3,14 кв.м. ЖК ЦЕНТРАЛЬНЫЙ расположен в городе Лыткарино, в 15 минутах от метро Котельники. Город расположен в 8 км к юго-востоку от МКАД. В 5,5 км на восток проходит Новорязанское шоссе, в 8 км на запад Каширское шоссе. С Севера и Северо-востока городская территория граничит с Люберецким районом, с Востока с Раменским районом, с Юга и Юго-запада с Ленинским районом Московской области. ЖК ЦЕНТРАЛЬНЫЙ расположен непосредственно в центре Лыткарино, на пересечении ул. Ленина и проезда Шестакова. Ул. Ленина является основной транспортной магистралью города, на которой расположено значительное число предприятий торговли и услуг. ЖК ЦЕНТРАЛЬНЫЙ состоит из 13-19-этажных 3-11-секционных монолитно-кирпичных домов с расположенными на 1-х этажах нежилыми помещениями, а так же благоустроенной территорией. Развитая инфраструктура: Две школы, четыре детских сада, дом творчества, рынок , Дом Культуры ""Мир"", Городская больница, спортивный комплекс ""Кристалл"", гостиница ""Эра"", Администрация города, Городской сквер и т.д . ДОМ СДАН !!! Застройщик планирует передачу объектов долевого строительства участникам долевого строительства с 24 мая 2019 года.";3973390;Опубликовано;https://cdn-p.cian.site/images/5/065/675/novostroyka-lytkarino-ulica-lenina-576560578-1.jpg,https://cdn-p.cian.site/images/8/065/675/novostroyka-lytkarino-ulica-lenina-576560805-1.jpg;Лыткарино
